est,err,est_card,true_card,query_dur_ms
psample_2000_0_0.688,11.543736990980413,56211.0,648885,99.63297843933105
psample_2000_0_0.688,2.642105934938624,2867477.0,7576178,66.55097007751465
psample_2000_0_0.688,23.758141614386886,4995078.0,210247,68.15648078918457
psample_2000_0_0.688,2.2102023481851023,186016.0,411133,80.34110069274902
psample_2000_0_0.688,8.144432194046306,907.0,7387,122.08247184753418
psample_2000_0_0.688,1.8023504405991058,2906838.0,1612804,49.833059310913086
psample_2000_0_0.688,13.039389310097695,4148247.0,318132,72.97039031982422
psample_2000_0_0.688,1.3204283360790774,1603.0,1214,80.14106750488281
psample_2000_0_0.688,68.83455284552845,338666.0,4920,119.32826042175293
psample_2000_0_0.688,119.36575654152446,3516.0,419690,80.85346221923828
psample_2000_0_0.688,10.926587291885681,204515.0,2234651,81.03036880493164
psample_2000_0_0.688,1.3257928802588996,532571.0,401700,93.54233741760254
psample_2000_0_0.688,9.16606150208904,307079.0,2814705,70.08242607116699
psample_2000_0_0.688,130.6119417862839,1310299.0,10032,103.2412052154541
psample_2000_0_0.688,5.167741935483871,155.0,801,114.3503189086914
psample_2000_0_0.688,14.51,100.0,1451,91.39609336853027
psample_2000_0_0.688,114.82352941176471,17.0,1952,86.33923530578613
psample_2000_0_0.688,57.282828282828284,396.0,22684,74.53036308288574
psample_2000_0_0.688,1.010840662712211,9778.0,9884,111.23800277709961
psample_2000_0_0.688,20.683333333333334,1241.0,60,119.53568458557129
psample_2000_0_0.688,3.671641791044776,67.0,246,130.4147243499756
psample_2000_0_0.688,1.1319238878122537,187828.0,212607,58.8831901550293
psample_2000_0_0.688,65.67832685545068,5403.0,354860,80.53183555603027
psample_2000_0_0.688,2.3043347381095725,7655.0,3322,103.82413864135742
psample_2000_0_0.688,5.141622999575131,181525.0,35305,69.53620910644531
psample_2000_0_0.688,9.181564245810057,358.0,3287,92.19837188720703
psample_2000_0_0.688,22.93153409090909,14080.0,322876,114.46094512939453
psample_2000_0_0.688,3.5005370569280343,6518.0,1862,58.16841125488281
psample_2000_0_0.688,1926.3609467455622,976665.0,507,119.47226524353027
psample_2000_0_0.688,21.43902132554071,310379.0,6654222,90.73376655578613
psample_2000_0_0.688,3.306590653502435,1652429.0,499738,58.013916015625
psample_2000_0_0.688,5.988881365596379,336108.0,56122,58.359622955322266
psample_2000_0_0.688,4.121414775160206,4485278.0,1088286,81.02655410766602
psample_2000_0_0.688,1.9578913532626165,3111.0,6091,119.2162036895752
psample_2000_0_0.688,1.0461538461538462,780.0,816,74.26071166992188
psample_2000_0_0.688,2.9777862796202865,83642.0,249068,80.7487964630127
psample_2000_0_0.688,1.2725321888412018,5592.0,7116,131.85787200927734
psample_2000_0_0.688,5.163691329355113,3926853.0,760474,80.25503158569336
psample_2000_0_0.688,23.003635691604643,297605.0,6845997,69.16570663452148
psample_2000_0_0.688,2.3383308345827087,6003.0,14037,52.701711654663086
psample_2000_0_0.688,3.4210112383694695,796018.0,232685,67.1088695526123
psample_2000_0_0.688,3.5714285714285716,49.0,175,80.8413028717041
psample_2000_0_0.688,20.3768115942029,1406.0,69,133.50224494934082
psample_2000_0_0.688,1.6984126984126984,107.0,63,114.91799354553223
psample_2000_0_0.688,16.5,462.0,28,114.86506462097168
psample_2000_0_0.688,4.626994680851064,1504.0,6959,114.88461494445801
psample_2000_0_0.688,43.666666666666664,262.0,6,103.94644737243652
psample_2000_0_0.688,14.70625095566025,5097466.0,346619,69.44561004638672
psample_2000_0_0.688,1.0193548387096774,155.0,158,47.93095588684082
psample_2000_0_0.688,1.9775377445720668,1590891.0,3146047,91.83955192565918
psample_2000_0_0.688,96.40495356037151,155694.0,1615,92.69857406616211
psample_2000_0_0.688,1.7795166850944169,4905615.0,2756712,105.39507865905762
psample_2000_0_0.688,1.3394299657934907,179498.0,240425,67.0156478881836
psample_2000_0_0.688,13.680898950965808,361666.0,4947916,65.91176986694336
psample_2000_0_0.688,3.8599150224084746,331586.0,85905,102.96940803527832
psample_2000_0_0.688,41.49624060150376,5519.0,133,123.16107749938965
psample_2000_0_0.688,11.289752650176679,19527.0,220455,72.10087776184082
psample_2000_0_0.688,2.7158115157297384,161414.0,438370,60.729265213012695
psample_2000_0_0.688,33.42090318619756,143337.0,4790452,59.067726135253906
psample_2000_0_0.688,6.9301452733886295,2154797.0,310931,94.77567672729492
psample_2000_0_0.688,86.72222222222223,1561.0,18,114.03036117553711
psample_2000_0_0.688,1.2971878762354254,3276705.0,4250502,79.68354225158691
psample_2000_0_0.688,48.90963855421687,8119.0,166,93.3234691619873
psample_2000_0_0.688,2.9707363583023665,40904.0,121515,87.71681785583496
psample_2000_0_0.688,4.545958098224388,135221.0,614709,87.3868465423584
psample_2000_0_0.688,2.0729009228715363,2832161.0,1366279,54.152488708496094
psample_2000_0_0.688,21.2332361516035,7283.0,343,105.37481307983398
psample_2000_0_0.688,122.87282229965157,574.0,70529,118.30282211303711
psample_2000_0_0.688,1.9102080943798132,11658.0,6103,92.3776626586914
psample_2000_0_0.688,1.2614716263915287,4646.0,3683,118.31474304199219
psample_2000_0_0.688,2.536144578313253,10104.0,3984,100.12316703796387
psample_2000_0_0.688,4.351653786707883,16175.0,70388,106.63437843322754
psample_2000_0_0.688,3.177404861635349,7917181.0,2491713,61.57279014587402
psample_2000_0_0.688,2.0966987502148453,4440397.0,2117804,92.34118461608887
psample_2000_0_0.688,4.952295958944822,2957734.0,597245,51.56254768371582
psample_2000_0_0.688,197.94688136220617,2139014.0,10806,98.01125526428223
psample_2000_0_0.688,2.0106147007318933,1447615.0,2910596,86.43674850463867
psample_2000_0_0.688,7322.362416107382,298.0,2182064,60.31036376953125
psample_2000_0_0.688,25.10872943094401,78516.0,1971437,84.97762680053711
psample_2000_0_0.688,1.1194308848813534,2007959.0,1793732,72.95036315917969
psample_2000_0_0.688,37630.27118644068,59.0,2220186,132.10320472717285
psample_2000_0_0.688,1.1298383742493416,6606868.0,7464693,65.89651107788086
psample_2000_0_0.688,2.160950264952194,2571587.0,1190026,106.1549186706543
psample_2000_0_0.688,2.131622901708758,298755.0,636833,79.83899116516113
psample_2000_0_0.688,1.7795975666822648,3803.0,2137,80.57451248168945
psample_2000_0_0.688,2662.5,2.0,5325,106.07481002807617
psample_2000_0_0.688,8.472694664672481,151106.0,1280275,104.65002059936523
psample_2000_0_0.688,280.0,3.0,840,105.49116134643555
psample_2000_0_0.688,6.6761137983207774,8515984.0,1275590,54.98480796813965
psample_2000_0_0.688,65.42158301536053,10221.0,668674,80.78861236572266
psample_2000_0_0.688,14.69698234208908,318724.0,4684281,66.66088104248047
psample_2000_0_0.688,6.501129789274228,5667971.0,871844,67.74640083312988
psample_2000_0_0.688,20.28595624361361,1449249.0,71441,106.38308525085449
psample_2000_0_0.688,2.6270193540949114,555128.0,1458332,83.81104469299316
psample_2000_0_0.688,15.826488949766878,37963.0,600821,94.25568580627441
psample_2000_0_0.688,36.52297587919484,4721179.0,129266,47.05381393432617
psample_2000_0_0.688,4.218493683898134,232501.0,980804,92.40388870239258
psample_2000_0_0.688,4605.356673960613,1828.0,8418592,114.58039283752441
psample_2000_0_0.688,439911.8461538461,13.0,5718854,114.56537246704102
psample_2000_0_0.688,16.17179239274725,8430226.0,521292,57.42311477661133
psample_2000_0_0.688,6.820011294730844,5422325.0,795061,75.9744644165039
psample_2000_0_0.688,121.28092243186583,115702.0,954,119.48490142822266
psample_2000_0_0.688,7.2425627210825,1992190.0,275067,53.9858341217041
psample_2000_0_0.688,2.995342153510728,20181.0,60449,131.8526268005371
psample_2000_0_0.688,3.2516252040483185,3734898.0,1148625,69.42868232727051
psample_2000_0_0.688,3.481760703179685,1213700.0,348588,116.72759056091309
psample_2000_0_0.688,1.0763358778625953,655.0,705,111.7863655090332
psample_2000_0_0.688,170.18008162476755,41409.0,7046987,105.91912269592285
psample_2000_0_0.688,1.2821756994717277,32766.0,25555,92.79870986938477
psample_2000_0_0.688,5514.607142857143,154409.0,28,81.53200149536133
psample_2000_0_0.688,3.0950123262484217,1895954.0,5868001,47.31297492980957
psample_2000_0_0.688,2.6085640623248514,23271.0,8921,69.45109367370605
psample_2000_0_0.688,1.0059922956199172,7051.0,7009,82.29827880859375
psample_2000_0_0.688,7.639150566821012,12526.0,95688,80.53851127624512
psample_2000_0_0.688,49.705882352941174,3380.0,68,116.67919158935547
psample_2000_0_0.688,62.58752671459102,322138.0,5147,47.56522178649902
psample_2000_0_0.688,3342.4158125915083,2282870.0,683,58.184146881103516
psample_2000_0_0.688,129.47635135135135,296.0,38325,132.09009170532227
psample_2000_0_0.688,1668.4896121883658,4818598.0,2888,77.03256607055664
psample_2000_0_0.688,16.17094290258804,2175671.0,134542,106.17542266845703
psample_2000_0_0.688,6.392727439366687,1116004.0,174574,65.90032577514648
psample_2000_0_0.688,289093.0,1.0,289093,93.49751472473145
psample_2000_0_0.688,1.139749478913951,7854269.0,8951899,51.137447357177734
psample_2000_0_0.688,5.268701679263849,4872548.0,924810,91.58897399902344
psample_2000_0_0.688,3.597826086956522,11254.0,3128,124.52292442321777
psample_2000_0_0.688,13.3,266.0,20,114.42875862121582
psample_2000_0_0.688,2.2906976744186047,7092.0,3096,114.5944595336914
psample_2000_0_0.688,3.3527272727272726,550.0,1844,69.59819793701172
psample_2000_0_0.688,3.642572138823349,1201988.0,4378328,80.4898738861084
psample_2000_0_0.688,4.425657095350771,69204.0,15637,117.43879318237305
psample_2000_0_0.688,27.728038542538155,69326.0,1922274,47.063350677490234
psample_2000_0_0.688,1.6613188673437982,77976.0,129543,102.66971588134766
psample_2000_0_0.688,1.1240792765765601,6949291.0,7811554,58.17580223083496
psample_2000_0_0.688,2.734930139720559,2505.0,6851,58.41875076293945
psample_2000_0_0.688,1.1094564781387886,110635.0,99720,103.81078720092773
psample_2000_0_0.688,1.0286919268087604,1926920.0,1873175,80.28697967529297
psample_2000_0_0.688,16.676470588235293,34.0,567,79.73289489746094
psample_2000_0_0.688,2.792072008511752,1757570.0,4907262,79.74529266357422
psample_2000_0_0.688,3.255628901038895,723365.0,2355008,92.35835075378418
psample_2000_0_0.688,10.710144927536232,739.0,69,114.90869522094727
psample_2000_0_0.688,1.8243739565943238,10928.0,5990,114.62807655334473
psample_2000_0_0.688,27.74375,160.0,4439,75.21867752075195
psample_2000_0_0.688,5.180388942096976,1276510.0,246412,100.31461715698242
psample_2000_0_0.688,79.32751383678169,26921.0,2135576,71.0141658782959
psample_2000_0_0.688,3.950310559006211,483.0,1908,81.99906349182129
psample_2000_0_0.688,2.8678905513027417,6980285.0,2433944,57.98220634460449
